HT_MI_5_weight,HT_MI_5_mean,HT_MI_5_std,HT_MI_3_weight,HT_MI_3_mean,HT_MI_3_std,HT_MI_1_weight,HT_MI_1_mean,HT_MI_1_std,HT_MI_0.1_weight,HT_MI_0.1_mean,HT_MI_0.1_std,HT_MI_0.01_weight,HT_MI_0.01_mean,HT_MI_0.01_std,HT_H_5_weight,HT_H_5_mean,HT_H_5_std,HT_H_5_radius,HT_H_5_magnitude,HT_H_5_covariance,HT_H_5_pcc,HT_H_3_weight,HT_H_3_mean,HT_H_3_std,HT_H_3_radius,HT_H_3_magnitude,HT_H_3_covariance,HT_H_3_pcc,HT_H_1_weight,HT_H_1_mean,HT_H_1_std,HT_H_1_radius,HT_H_1_magnitude,HT_H_1_covariance,HT_H_1_pcc,HT_H_0.1_weight,HT_H_0.1_mean,HT_H_0.1_std,HT_H_0.1_radius,HT_H_0.1_magnitude,HT_H_0.1_covariance,HT_H_0.1_pcc,HT_H_0.01_weight,HT_H_0.01_mean,HT_H_0.01_std,HT_H_0.01_radius,HT_H_0.01_magnitude,HT_H_0.01_covariance,HT_H_0.01_pcc,HT_jit_5_weight,HT_jit_5_mean,HT_jit_5_std,HT_jit_3_weight,HT_jit_3_mean,HT_jit_3_std,HT_jit_1_weight,HT_jit_1_mean,HT_jit_1_std,HT_jit_0.1_weight,HT_jit_0.1_mean,HT_jit_0.1_std,HT_jit_0.01_weight,HT_jit_0.01_mean,HT_jit_0.01_std,HT_Hp_5_weight,HT_Hp_5_mean,HT_Hp_5_std,HT_Hp_5_radius,HT_Hp_5_magnitude,HT_Hp_5_covariance,HT_Hp_5_pcc,HT_Hp_3_weight,HT_Hp_3_mean,HT_Hp_3_std,HT_Hp_3_radius,HT_Hp_3_magnitude,HT_Hp_3_covariance,HT_Hp_3_pcc,HT_Hp_1_weight,HT_Hp_1_mean,HT_Hp_1_std,HT_Hp_1_radius,HT_Hp_1_magnitude,HT_Hp_1_covariance,HT_Hp_1_pcc,HT_Hp_0.1_weight,HT_Hp_0.1_mean,HT_Hp_0.1_std,HT_Hp_0.1_radius,HT_Hp_0.1_magnitude,HT_Hp_0.1_covariance,HT_Hp_0.1_pcc,HT_Hp_0.01_weight,HT_Hp_0.01_mean,HT_Hp_0.01_std,HT_Hp_0.01_radius,HT_Hp_0.01_magnitude,HT_Hp_0.01_covariance,HT_Hp_0.01_pcc
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.008851636964755,60.00000000000001,0.0,1.6233075097117071,60.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.008851636964755,60.00000000000001,0.0,0.0,60.00000000000001,0.0,0.0,1.6233075097117071,60.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.008851636964755,60.00000000000001,0.0,0.0,60.00000000000001,0.0,0.0,1.6233075097117071,60.0,0.0,0.0,60.0,0.0,0.0
1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,9.094947017729282e-13,73.2393336944022,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,9.094947017729282e-13,73.2393336944022,0.0,0.0
1.0,90.0,0.0,1.0,90.0,0.0,1.0,90.0,0.0,1.0,90.0,0.0,1.0,90.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0
1.0,86.0,0.0,1.0,86.0,0.0,1.0,86.0,0.0,1.0000000000000664,86.00000000000026,1.8189894035458565e-12,1.0481004832483993,86.18357202965625,0.7005894285530303,1.0,86.0,0.0,0.0,86.0,0.0,0.0,1.0,86.0,0.0,0.0,86.0,0.0,0.0,1.0,86.0,0.0,0.0,86.0,0.0,0.0,1.0000000000000664,86.00000000000026,1.8189894035458565e-12,1.8189894035458565e-12,86.00000000000026,0.0,0.0,1.0481004832483993,86.18357202965625,0.7005894285530303,0.7005894285530303,86.18357202965625,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,86.0,0.0,0.0,86.0,0.0,0.0,1.0,86.0,0.0,0.0,86.0,0.0,0.0,1.0,86.0,0.0,0.0,86.0,0.0,0.0,1.0000000000000664,86.00000000000026,1.8189894035458565e-12,1.8189894035458565e-12,86.00000000000026,0.0,0.0,1.0481004832483993,86.18357202965625,0.7005894285530303,0.7005894285530303,86.18357202965625,0.0,0.0
1.0,90.0,0.0,1.0,90.0,0.0,1.0,90.0,0.0,1.009513542759205,89.96230444721644,0.14936125643271225,1.658017052771564,88.48537463413741,3.764411464533623,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.009513542759205,89.96230444721644,0.14936125643271225,0.14936125643271225,89.96230444721644,0.0,0.0,1.658017052771564,88.48537463413741,3.764411464533623,3.764411464533623,88.48537463413741,0.0,0.0,1.0,504.9384961128235,0.0,1.0,504.9384961128235,0.0,1.0,504.9384961128235,0.0,1.0000000000000007,504.93849611282315,1.7462298274040222e-10,1.0301983814814237,490.13714755280694,7254.690763141378,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.0,90.0,0.0,0.0,90.0,0.0,0.0,1.009513542759205,89.96230444721644,0.14936125643271225,0.14936125643271225,89.96230444721644,0.0,0.0,1.658017052771564,88.48537463413741,3.764411464533623,3.764411464533623,88.48537463413741,0.0,0.0
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0000003216271391,59.99999999999999,4.547473508864641e-13,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0000003216271391,59.99999999999999,4.547473508864641e-13,4.547473508864641e-13,59.99999999999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0000003216271391,59.99999999999999,4.547473508864641e-13,4.547473508864641e-13,59.99999999999999,0.0,0.0
1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,73.23933369440222,0.0,0.0,1.0,42.0,0.0,4.547473508864641e-13,73.2393336944022,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,73.23933369440222,0.0,0.0,1.0,42.0,0.0,4.547473508864641e-13,73.2393336944022,0.0,0.0
1.0,342.0,0.0,1.0,342.0,0.0,1.0,342.0,0.0,1.0,342.0,0.0,1.0,342.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0
1.0,342.0,0.0,1.0,342.0,0.0,1.0,342.0,0.0,1.0,342.0,0.0,1.0000032953354931,341.9990707184532,0.2620565326506039,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0000032953354931,341.9990707184532,0.2620565326506039,0.2620565326506039,341.9990707184532,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0,1.0,342.0,0.0,0.0,342.0,0.0,0.0
