HT_MI_5_weight,HT_MI_5_mean,HT_MI_5_std,HT_MI_3_weight,HT_MI_3_mean,HT_MI_3_std,HT_MI_1_weight,HT_MI_1_mean,HT_MI_1_std,HT_MI_0.1_weight,HT_MI_0.1_mean,HT_MI_0.1_std,HT_MI_0.01_weight,HT_MI_0.01_mean,HT_MI_0.01_std,HT_H_5_weight,HT_H_5_mean,HT_H_5_std,HT_H_5_radius,HT_H_5_magnitude,HT_H_5_covariance,HT_H_5_pcc,HT_H_3_weight,HT_H_3_mean,HT_H_3_std,HT_H_3_radius,HT_H_3_magnitude,HT_H_3_covariance,HT_H_3_pcc,HT_H_1_weight,HT_H_1_mean,HT_H_1_std,HT_H_1_radius,HT_H_1_magnitude,HT_H_1_covariance,HT_H_1_pcc,HT_H_0.1_weight,HT_H_0.1_mean,HT_H_0.1_std,HT_H_0.1_radius,HT_H_0.1_magnitude,HT_H_0.1_covariance,HT_H_0.1_pcc,HT_H_0.01_weight,HT_H_0.01_mean,HT_H_0.01_std,HT_H_0.01_radius,HT_H_0.01_magnitude,HT_H_0.01_covariance,HT_H_0.01_pcc,HT_jit_5_weight,HT_jit_5_mean,HT_jit_5_std,HT_jit_3_weight,HT_jit_3_mean,HT_jit_3_std,HT_jit_1_weight,HT_jit_1_mean,HT_jit_1_std,HT_jit_0.1_weight,HT_jit_0.1_mean,HT_jit_0.1_std,HT_jit_0.01_weight,HT_jit_0.01_mean,HT_jit_0.01_std,HT_Hp_5_weight,HT_Hp_5_mean,HT_Hp_5_std,HT_Hp_5_radius,HT_Hp_5_magnitude,HT_Hp_5_covariance,HT_Hp_5_pcc,HT_Hp_3_weight,HT_Hp_3_mean,HT_Hp_3_std,HT_Hp_3_radius,HT_Hp_3_magnitude,HT_Hp_3_covariance,HT_Hp_3_pcc,HT_Hp_1_weight,HT_Hp_1_mean,HT_Hp_1_std,HT_Hp_1_radius,HT_Hp_1_magnitude,HT_Hp_1_covariance,HT_Hp_1_pcc,HT_Hp_0.1_weight,HT_Hp_0.1_mean,HT_Hp_0.1_std,HT_Hp_0.1_radius,HT_Hp_0.1_magnitude,HT_Hp_0.1_covariance,HT_Hp_0.1_pcc,HT_Hp_0.01_weight,HT_Hp_0.01_mean,HT_Hp_0.01_std,HT_Hp_0.01_radius,HT_Hp_0.01_magnitude,HT_Hp_0.01_covariance,HT_Hp_0.01_pcc,protocol,time
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,ARP,1621394954.755856
1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,73.23933369440222,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0,0.0,0.0,1.0,42.0,0.0,0.0,73.23933369440222,0.0,0.0,ARP,1621395495.821072
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0185881463819462,60.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,73.23933369440222,0.0,0.0,1.0185881463819462,60.0,0.0,0.0,73.23933369440222,0.0,0.0,1.0,574.9473278522491,0.0,1.0,574.9473278522491,0.0,1.0,574.9473278522491,0.0,1.0,574.9473278522491,0.0,1.0185881463819462,564.4551528451202,5922.362247326761,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,TCP,1621395529.703184
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0095460101989393,59.99999999999999,4.547473508864641e-13,1.6397065643535944,60.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0095460101989393,59.99999999999999,4.547473508864641e-13,4.547473508864641e-13,73.2393336944022,0.0,0.0,1.6397065643535944,60.0,0.0,4.547473508864641e-13,73.2393336944022,0.0,0.0,1.0,67.10886406898499,0.0,1.0,67.10886406898499,0.0,1.0,67.10886406898499,0.0,1.0095460101989393,71.91085536577923,2415.5767628501053,1.6397065643535944,261.1409504212254,61163.20702564757,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0095460101989393,59.99999999999999,4.547473508864641e-13,4.547473508864641e-13,59.99999999999999,0.0,0.0,1.6280326024074108,60.00000000000001,0.0,0.0,60.00000000000001,0.0,0.0,TCP,1621395596.812048
2.0,60.0,0.0,2.0,60.0,0.0,2.0,60.0,0.0,2.0095460101989393,60.0,0.0,2.6397065643535944,60.0,4.547473508864641e-13,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.0095460101989393,60.0,0.0,0.0,73.23933369440222,0.0,0.0,2.6397065643535944,60.0,4.547473508864641e-13,6.431098710768743e-13,73.2393336944022,0.0,0.0,2.0,33.55443203449249,1125.899909157376,2.0,33.55443203449249,1125.899909157376,2.0,33.55443203449249,1125.899909157376,2.0095460101989393,36.126227892303135,2506.2893840587326,2.6397065643535944,162.21292791006684,54040.15436725204,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.0095460101989393,60.0,0.0,0.0,60.0,0.0,0.0,2.6280326024074108,60.0,0.0,0.0,60.0,0.0,0.0,TCP,1621395596.812048
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0002405467229734,60.0,4.547473508864641e-13,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0002405467229734,60.0,4.547473508864641e-13,8.198074455012805e-13,73.2393336944022,0.0,0.0,1.0,1342.1772799491882,0.0,1.0,1342.1772799491882,0.0,1.0,1342.1772799491882,0.0,1.0,1342.1772799491882,0.0,1.0002405467229734,1341.8935116506143,347.752007991774,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0002394829178793,59.99999999999999,4.547473508864641e-13,4.547473508864641e-13,59.99999999999999,0.0,0.0,TCP,1621396938.989328
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0000911263107182,60.0,4.547473508864641e-13,1.3945198273157309,60.00000000000001,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0000911263107182,60.0,4.547473508864641e-13,4.547473508864641e-13,60.0,0.0,0.0,1.3945198273157309,60.00000000000001,0.0,2.2737367544323206e-13,73.23933369440222,0.0,0.0,1.0,134.21772813796997,0.0,1.0,134.21772813796997,0.0,1.0,134.21772813796997,0.0,1.0000911263107182,134.32779500543583,132.94420917801835,1.3945198273157309,475.8780130848729,295981.4835871069,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0000911263107182,60.0,4.547473508864641e-13,4.547473508864641e-13,60.0,0.0,0.0,1.3945194077244603,60.0,0.0,0.0,60.0,0.0,0.0,TCP,1621397073.207056
2.0,60.0,0.0,2.0,60.0,0.0,2.0,60.0,0.0,2.000091126310718,60.0,4.547473508864641e-13,2.394519827315731,60.00000000000001,0.0,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.000091126310718,60.0,4.547473508864641e-13,4.547473508864641e-13,60.0,0.0,0.0,2.394519827315731,60.00000000000001,0.0,2.2737367544323206e-13,73.23933369440222,0.0,0.0,2.0,67.10886406898499,4503.599636629504,2.0,67.10886406898499,4503.599636629504,2.0,67.10886406898499,4503.599636629504,2.000091126310718,67.16695756238838,4577.464251521482,2.394519827315731,277.1417121128594,227451.73728391936,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.0,60.0,0.0,0.0,60.0,0.0,0.0,2.000091126310718,60.0,4.547473508864641e-13,4.547473508864641e-13,60.0,0.0,0.0,2.3945194077244603,60.0,0.0,0.0,60.0,0.0,0.0,TCP,1621397073.207056
3.0,60.0,0.0,3.0,60.0,0.0,3.0,60.0,0.0,3.000091126310718,60.00000000000001,0.0,3.394519827315731,60.00000000000001,0.0,3.0,60.0,0.0,0.0,60.0,0.0,0.0,3.0,60.0,0.0,0.0,60.0,0.0,0.0,3.0,60.0,0.0,0.0,60.0,0.0,0.0,3.000091126310718,60.00000000000001,0.0,0.0,60.00000000000001,0.0,0.0,3.394519827315731,60.00000000000001,0.0,2.2737367544323206e-13,73.23933369440222,0.0,0.0,3.0,44.739242712656655,4003.1996770040037,3.0,44.739242712656655,4003.1996770040037,3.0,44.739242712656655,4003.1996770040037,3.000091126310718,44.77865176282917,4054.207329390249,3.394519827315731,195.49784900070503,176407.3665004087,3.0,60.0,0.0,0.0,60.0,0.0,0.0,3.0,60.0,0.0,0.0,60.0,0.0,0.0,3.0,60.0,0.0,0.0,60.0,0.0,0.0,3.000091126310718,60.00000000000001,0.0,0.0,60.00000000000001,0.0,0.0,3.3945194077244603,60.0,0.0,0.0,60.0,0.0,0.0,TCP,1621397073.207056
1.0,60.0,0.0,1.0,60.0,0.0,1.0,60.0,0.0,1.0000000249127707,59.99999999999999,4.547473508864641e-13,1.5280889838837268,60.00000000000001,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0000000249127707,59.99999999999999,4.547473508864641e-13,4.547473508864641e-13,59.99999999999999,0.0,0.0,1.5280889838837268,60.00000000000001,0.0,4.547473508864641e-13,73.23933369440222,0.0,0.0,1.0,268.43545603752136,0.0,1.0,268.43545603752136,0.0,1.0,268.43545603752136,0.0,1.0000000249127707,268.4354504656108,0.0013471972051775083,1.5280889838837268,243.22910536474294,62167.37299130791,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0000000249127707,59.99999999999999,4.547473508864641e-13,4.547473508864641e-13,59.99999999999999,0.0,0.0,1.5280889186074762,60.0,0.0,0.0,60.0,0.0,0.0,TCP,1621397341.642512
